planet_name,mass,radius,orbital_period_x,discovered_year,detection_type,star_name,star_distance,star_mass,star_radius,star_age,pl_hostname,pl_letter,orbital_period_y,eccentricity,planet_jup_mass,pl_dens,planet_earth_mass,observatory_name,telescope_name,moons_n,galactic_longitude,galactic_latitude,stellar_gravity
Kepler-363 c,,0.151,7.542427,2014.0,Primary Transit,Kepler-363,,1.23,1.49,,Kepler-363,c,7.542427,,,,,Kepler,0.95 m Kepler Telescope,0.0,71.052526,17.283679,4.15
Kepler-363 d,,0.183,11.932125,2014.0,Primary Transit,Kepler-363,,1.23,1.49,,Kepler-363,d,11.932125,,,,,Kepler,0.95 m Kepler Telescope,0.0,71.052526,17.283679,4.15
Kepler-364 b,,0.138,25.745718,2014.0,Primary Transit,Kepler-364,,1.2,1.28,,Kepler-364,b,25.745718,,,,,Kepler,0.95 m Kepler Telescope,0.0,76.696816,20.438415,4.27
Kepler-364 c,,0.192,59.980627,2014.0,Primary Transit,Kepler-364,,1.2,1.28,,Kepler-364,c,59.980627,,,,,Kepler,0.95 m Kepler Telescope,0.0,76.696816,20.438415,4.27
Kepler-365 b,,0.182,10.664903,2014.0,Primary Transit,Kepler-365,,0.99,1.05,,Kepler-365,b,10.664903,,,,,Kepler,0.95 m Kepler Telescope,0.0,82.117657,12.481433,4.43
Kepler-365 c,,0.146,17.784129,2014.0,Primary Transit,Kepler-365,,0.99,1.05,,Kepler-365,c,17.784129,,,,,Kepler,0.95 m Kepler Telescope,0.0,82.117657,12.481433,4.43
Kepler-366 b,,0.13,3.2819589999999996,2014.0,Primary Transit,Kepler-366,,1.05,1.05,,Kepler-366,b,3.2819589999999996,,,,,Kepler,0.95 m Kepler Telescope,0.0,82.457155,11.74966,4.45
Kepler-366 c,,0.16,12.516160000000001,2014.0,Primary Transit,Kepler-366,,1.05,1.05,,Kepler-366,c,12.516160000000001,,,,,Kepler,0.95 m Kepler Telescope,0.0,82.457155,11.74966,4.45
Kepler-367 b,,0.11599999999999999,37.815723999999996,2014.0,Primary Transit,Kepler-367,,0.75,0.69,,Kepler-367,b,37.815723999999996,,,,,Kepler,0.95 m Kepler Telescope,0.0,83.40307800000001,11.921393,4.63
Kepler-367 c,,0.107,53.578637,2014.0,Primary Transit,Kepler-367,,0.75,0.69,,Kepler-367,c,53.578637,,,,,Kepler,0.95 m Kepler Telescope,0.0,83.40307800000001,11.921393,4.63
